,v1,v2
3245,ham,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens"
944,ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
1044,spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
2484,ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.
812,spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
2973,ham,"I'll text carlos and let you know, hang on"
2991,ham,K.i did't see you.:)k:)where are you now?
2942,ham,No message..no responce..what happend?
230,ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
1181,ham,You flippin your shit yet?
1912,ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
1992,spam,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
5435,ham,I'm wif him now buying tix lar...
4805,ham,Call me when u finish then i come n pick u.
401,ham,Dear how is chechi. Did you talk to her
1859,ham,What's up. Do you want me to come online?
1344,ham,Were somewhere on Fredericksburg
2952,spam,"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
501,ham,When can Ì_ come out?
3337,ham,"K, if u bored up just come to my home.."
1945,ham,Can Ì_ call me at 10:10 to make sure dat i've woken up...
3142,ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
2422,ham,A bloo bloo bloo I'll miss the first bowl
381,ham,"Yeah sure, give me a couple minutes to track down my wallet"
5567,spam,"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
4937,ham,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
79,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
5240,ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
2554,ham,I'll reach in ard 20 mins ok...
5345,ham,Wat Ì_ doing now?
4379,ham,Done it but internet connection v slow and can‰Û÷t send it. Will try again later or first thing tomo.
4789,ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
683,spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
5519,ham,Can you pls send me that company name. In saibaba colany
4315,ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
393,ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
5541,ham,Yeah it's jus rite...
4546,ham,Hey mate. Spoke to the mag people. We‰Û÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. 
3599,ham,I know you mood off today
2225,ham,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx
881,ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
4625,ham,Lol ... I knew that .... I saw him in the dollar store
3997,spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
5015,ham,Hey gals...U all wanna meet 4 dinner at nÌÂte? 
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
4479,ham,"Y cant u try new invention to fly..i'm not joking.,"
1215,ham,"that would be good ‰Û_ I'll phone you tomo lunchtime, shall I, to organise something?"
1961,ham,LOL that would be awesome payback.
5339,ham,You'd like that wouldn't you? Jerk!
848,ham,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
4294,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
2664,ham,He remains a bro amongst bros
3407,spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
351,ham,If you're not in my car in an hour and a half I'm going apeshit
3492,ham,"Cool, text me when you head out"
3103,ham,That's y i said it's bad dat all e gals know u... Wat u doing now?
3315,ham,I know girls always safe and selfish know i got it pa. Thank you. good night.
1881,ham,Ok.. ÌÏ finishing soon?
3504,ham,"life alle mone,eppolum oru pole allalo"
2380,ham,"If i let you do this, i want you in the house by 8am."
1598,ham,Daddy will take good care of you :)
4733,spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
3299,ham,Just do what ever is easier for you
439,ham,But i have to. I like to have love and arrange.
2903,ham,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
1186,ham,"Goodmorning, Today i am late for  &lt;#&gt; min."
1728,ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
3975,ham,I wish u were here. I feel so alone
3050,ham,"Awesome question with a cute answer: Someone asked a boy \how is ur life?\"" . . He smiled &amp; answered: . . \""She is fine!\"" Gudnite"""
1128,spam,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
4500,ham,So wat's da decision?
315,ham,K.k:)advance happy pongal.
296,ham,Unless it's a situation where YOU GO GURL would be more appropriate
3298,ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
3864,ham,"THATåÕS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONåÕT WORRY.C U L8TR HUN!LOVE Yaxxx"
8,spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
5003,ham,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.
2968,ham,Ma head dey swell oh. Thanks for making my day
5194,ham,Ok... Take ur time n enjoy ur dinner...
2157,ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
3669,ham,Ok thanx... Take care then...
4730,ham,K:)eng rocking in ashes:)
5349,ham,I'm home...
2388,ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. .."""
2575,ham,Now thats going to ruin your thesis!
4085,ham,Lemme know when you're here
4328,ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
3467,ham,yay! finally lol. i missed our cinema trip last week :-(
2245,ham,How did you find out in a way that didn't include all of these details
4269,ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
1281,ham,Am I the only one who doesn't stalk profiles?
5145,ham,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...
2598,ham,Okie... Thanx...
3532,ham,"Sorry, I'll call later"
1253,ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... 
4707,ham,"Did you say bold, then torch later. Or one torch and 2bold?"
2658,ham,Not yet chikku..wat abt u?
3479,ham,What was she looking for?
4483,ham,Shopping? Eh ger i toking abt syd leh...Haha
4700,ham,I liked the new mobile
3116,ham,Now am free call me pa.
3785,ham,Wat r u doing?
3547,ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
1039,ham,They just talking thats it de. They wont any other.
3859,ham,Yep. I do like the pink furniture tho.
